date,visitors,forecast,forecast_lower,forecast_upper
2025-05-01,495384.0,460583.2325296508,376826.46062276134,538021.5184872317
2025-06-01,474731.0,413343.32103396015,339729.78440793505,491639.6193275742
2025-07-01,747679.0,516757.8791774295,435378.9630431739,596082.8282864799
2025-08-01,864977.0,623164.1963456693,548818.9693813656,699816.7873677813
2025-09-01,409025.0,432433.9451165945,354023.46071462345,511390.24427526444
2025-10-01,553584.0,484410.0252302385,402471.2140183697,561828.6831768847
2025-11-01,522677.0,440614.6912331639,355013.3515688215,518103.8840408911
2025-12-01,693218.0,505510.84446079767,427403.6029393111,583346.5096166221
2025-12-31,,503618.1487400312,423120.17268666654,584024.1404335101
2026-01-31,,451036.75585550675,374552.3557592651,526549.2625320478
2026-02-28,,386813.0333191924,311739.6729590519,465127.0312799138
2026-03-31,,414152.20039583184,333547.7020139127,495885.30569989537
2026-04-30,,545408.4829542079,466294.4065326404,629733.1668304013
2026-05-31,,460537.50200759503,379141.26628286636,544411.324082816
2026-06-30,,646163.8311029486,568399.6410773346,721824.2709475333
2026-07-31,,828033.794747792,757694.5512415041,910958.8476800456
2026-08-31,,583035.1399346646,500909.8873233639,665297.5255623647
2026-09-30,,587276.157242211,504434.5663816731,662259.5113299636
2026-10-31,,474496.888410351,398537.70037916856,558862.1263591981
2026-11-30,,530707.8137756356,454116.9430944748,616353.3594971367
2026-12-31,,556280.3721660746,475335.2992425939,635256.987225548
2027-01-31,,496689.286547122,416308.11579434766,570854.8338672121
2027-02-28,,442581.70206247165,356974.2833140075,518961.40941000165
2027-03-31,,473464.5812513265,399515.1875821084,552668.912063076
2027-04-30,,611415.2472661536,529616.7021815716,696406.4491639535
2027-05-31,,518739.1734388489,440914.05349265266,603817.6864444906
2027-06-30,,719551.4561865485,634750.0609303982,798900.3221970745
2027-07-31,,916049.2695169804,831326.0271330539,996773.4770654573
2027-08-31,,662385.5459185808,586398.1179924438,741911.7319610171
2027-09-30,,657551.2518974907,580050.6676476867,735663.8244400498
2027-10-31,,530458.8916573706,452113.9587936456,608788.1847210927
2027-11-30,,584836.222346339,503250.3187235407,659624.4576902807
2027-12-31,,609217.2343470062,529611.0036314734,690467.6808674366
2028-01-31,,542583.5708094571,459589.78313537175,621871.5129300546
2028-02-29,,519088.3846147136,438226.64673734724,600535.854127142
2028-03-31,,539022.8879393853,460080.14823870827,622186.7640613007
2028-04-30,,656809.7640312205,584693.5100157388,740214.5728075928
2028-05-31,,587308.6564852442,511659.7231685794,665946.8591485788
2028-06-30,,741208.8196157976,660603.37981773,822120.8848929319
2028-07-31,,893216.4566524025,818910.002103332,975957.0916764651
2028-08-31,,667775.7256304285,588937.2526303199,750915.1754862411
2028-09-30,,690765.4353414252,611716.5082463812,771977.2773077503
2028-10-31,,606201.2746133595,523566.2728142371,691160.6982060911
2028-11-30,,665980.3862586363,586219.0970876568,750837.9998874181
2028-12-31,,694203.1918990205,612062.996872882,766244.2440287872
2029-01-31,,648581.49241968,563260.4748878403,728615.8879377781
2029-02-28,,574318.8164305598,493241.065101246,665664.7971082701
2029-03-31,,598001.1479048149,522692.4871399983,685590.075201698
2029-04-30,,722533.650250635,643777.202420285,811957.8161298685
2029-05-31,,645392.1621657553,562935.4653852053,734392.5360712343
2029-06-30,,815370.8240613649,727793.960421208,897316.5935403077
2029-07-31,,982394.9281157595,896919.7532155404,1063066.63780348
2029-08-31,,746807.3669817613,657635.9755863941,829746.7935376585
2029-09-30,,760336.885275904,672324.0220871296,837063.2472451272
2029-10-31,,661745.7425895049,569887.1062773238,746789.4633110786
2029-11-30,,719757.0767464635,637626.6438438856,805757.5293546566
2029-12-31,,746612.7110891682,656345.7827115842,833269.5260073107
2030-01-31,,694031.3182045636,607043.5954464853,782480.4942902819
2030-02-28,,629807.5956683152,545653.3960837238,720714.5163794453
2030-03-31,,657146.7627449788,570558.0681000476,741367.5048464475
2030-04-30,,788403.0453033888,701558.2793485398,874768.6193487322
2030-05-31,,703532.0643567328,610756.6040369011,787608.833522673
2030-06-30,,889158.3934522099,807679.1307425,984016.7702371986
2030-07-31,,1071028.3570967922,982382.5269258076,1158726.4474975474
2030-08-31,,826029.7022836851,733863.6219306849,909561.7185820038
2030-09-30,,830270.7195914543,743447.1274414631,917170.6890848737
2030-10-31,,717491.4507594383,632954.443603189,810214.5991904248
2030-11-30,,773702.376124799,683041.6090582599,863031.2782314077
2030-12-31,,799274.9345152423,709941.2287163036,886833.7505394219
2031-01-31,,739683.8488963544,651970.3706675655,842073.9334787567
2031-02-28,,685576.2644116735,594837.6132665985,775064.7436885202
2031-03-31,,716459.1436004248,627534.2756418252,801454.1434802378
2031-04-30,,854409.8096154128,765366.6772218874,944874.0632771448
2031-05-31,,761733.735788018,670241.8232419548,848030.6518769135
2031-06-30,,962546.0185355479,871661.0701677022,1064845.5267426434
2031-07-31,,1159043.8318667072,1066473.628043513,1251165.0121975653
2031-08-31,,905380.1082679733,804968.2906632969,997176.5403156054
2031-09-30,,900545.8142466057,809882.655036969,994225.5257093477
2031-10-31,,773453.4540066291,678934.0765144969,868888.5228376553
2031-11-30,,827830.7846953692,732865.0098975456,920630.9305725888
