Price_KRW,Visitors_Flat,Revenue_Flat,Revenue_Dual_B1,Revenue_Dual_B2,Visitor_Loss_Pct
13274.549098196394,3668520.5291409832,48697955881.823395,51704910694.947556,26468254298.836803,18.923399624802446
13372.745490981964,3652145.2840833007,48839209380.136,51712295700.75107,26475639304.640312,19.28530279231683
13470.941883767537,3635770.0390256178,48977246898.45733,51719512568.907135,26482856172.79638,19.647205959831222
13569.138276553107,3619394.793967935,49112068436.78735,51726561299.41576,26489904903.305,20.00910912734561
13667.334669338677,3603019.548910252,49243673995.12609,51733441892.27693,26496785496.166176,20.37101229486
13765.53106212425,3586644.303852569,49372063573.47354,51740154347.49066,26503497951.379906,20.732915462374393
13863.72745490982,3570269.058794886,49497237171.829704,51746698665.056946,26510042268.946194,21.094818629888785
13961.923847695392,3553893.813737203,49619194790.19458,51753074844.975784,26516418448.865032,21.456721797403176
14060.120240480963,3537518.56867952,49737936428.56816,51759282887.247185,26522626491.13643,21.818624964917564
14158.316633266533,3521143.3236218374,49853462086.95046,51765322791.87113,26528666395.76038,22.180528132431945
14256.513026052105,3504768.078564154,49965771765.34147,51771194558.84764,26534538162.73689,22.542431299946347
14354.709418837676,3488392.8335064715,50074865463.741196,51776898188.176704,26540241792.06595,22.90433446746073
14452.905811623248,3472017.588448788,50180743182.14962,51782433679.858315,26545777283.747566,23.266237634975127
14551.102204408819,3455642.3433911055,50283404920.56677,51787801033.89249,26551144637.78174,23.628140802489508
14649.298597194389,3439267.0983334226,50382850678.99262,51793000250.27922,26556343854.168465,23.9900439700039
14747.494989979961,3422891.8532757396,50479080457.42719,51798031329.0185,26561374932.907745,24.35194713751829
14845.691382765532,3406516.6082180566,50572094255.87047,51802894270.11034,26566237873.999584,24.713850305032683
14943.887775551104,3390141.3631603736,50661892074.322464,51807589073.554726,26570932677.443977,25.075753472547074
15042.084168336674,3373766.1181026907,50748473912.783165,51812115739.35168,26575459343.240925,25.437656640061462
15140.280561122245,3357390.8730450077,50831839771.25257,51816474267.50118,26579817871.390427,25.799559807575857
15238.476953907817,3341015.6279873247,50911989649.7307,51820664658.003235,26584008261.892487,26.161462975090245
15336.673346693387,3324640.382929642,50988923548.217545,51824686910.85785,26588030514.747097,26.523366142604626
